name,description,stock_quantity,price,category,requires_prescription
SCodone 224mg,Relieves pain and inflammation,538,53.93,Painkillers,false
LPam,Relieves pain and inflammation,343,70.31,Painkillers,false
TGesic,Relieves pain and inflammation,706,54.18,Painkillers,false
BFen 215mg,Relieves pain and inflammation,328,45.02,Painkillers,true
RGesic,Relieves pain and inflammation,521,56.69,Painkillers,false
IFen,Relieves pain and inflammation,662,34.94,Painkillers,false
FPam 78mg,Relieves pain and inflammation,511,52.72,Painkillers,false
RFen,Relieves pain and inflammation,66,52.35,Painkillers,false
GFen,Relieves pain and inflammation,483,52.49,Painkillers,true
PGesic 19mg,Relieves pain and inflammation,278,45.16,Painkillers,false
NFen,Relieves pain and inflammation,729,15.27,Painkillers,false
CFen,Relieves pain and inflammation,77,15.0,Painkillers,false
SGesic 58mg,Relieves pain and inflammation,149,35.19,Painkillers,false
NPam,Relieves pain and inflammation,586,20.04,Painkillers,false
RGesic,Relieves pain and inflammation,201,86.51,Painkillers,true
FGesic 411mg,Relieves pain and inflammation,328,17.45,Painkillers,false
MFen,Relieves pain and inflammation,217,83.85,Painkillers,false
OCodone,Relieves pain and inflammation,609,81.29,Painkillers,false
CGesic 321mg,Relieves pain and inflammation,427,62.48,Painkillers,false
TGesic,Relieves pain and inflammation,191,12.59,Painkillers,false
LPam,Relieves pain and inflammation,353,16.62,Painkillers,true
RPam 486mg,Relieves pain and inflammation,30,48.17,Painkillers,true
EGesic,Relieves pain and inflammation,370,26.22,Painkillers,false
ZGesic,Relieves pain and inflammation,29,87.08,Painkillers,false
NPam 188mg,Relieves pain and inflammation,583,50.31,Painkillers,true
OCodone,Relieves pain and inflammation,92,15.12,Painkillers,false
IPam,Relieves pain and inflammation,456,12.83,Painkillers,false
DCodone 497mg,Relieves pain and inflammation,423,73.8,Painkillers,false
IGesic,Relieves pain and inflammation,663,70.23,Painkillers,false
BFen,Relieves pain and inflammation,657,43.93,Painkillers,true
MFen 271mg,Relieves pain and inflammation,484,88.29,Painkillers,true
IPam,Relieves pain and inflammation,254,62.15,Painkillers,false
VGesic,Relieves pain and inflammation,287,75.64,Painkillers,false
APam 147mg,Relieves pain and inflammation,358,33.77,Painkillers,false
CCodone,Relieves pain and inflammation,293,78.59,Painkillers,true
ZPam,Relieves pain and inflammation,757,11.85,Painkillers,false
LGesic 113mg,Relieves pain and inflammation,110,57.73,Painkillers,true
BFen,Relieves pain and inflammation,457,74.6,Painkillers,false
NCodone,Relieves pain and inflammation,797,24.0,Painkillers,false
HFen 412mg,Relieves pain and inflammation,672,27.5,Painkillers,false
LGesic,Relieves pain and inflammation,743,89.76,Painkillers,false
PFen,Relieves pain and inflammation,625,77.69,Painkillers,false
IGesic 36mg,Relieves pain and inflammation,724,58.56,Painkillers,false
OCodone,Relieves pain and inflammation,617,9.34,Painkillers,false
EPam,Relieves pain and inflammation,256,49.92,Painkillers,false
GGesic 58mg,Relieves pain and inflammation,700,72.32,Painkillers,false
IPam,Relieves pain and inflammation,616,69.73,Painkillers,false
DPam,Relieves pain and inflammation,166,6.58,Painkillers,true
VPam 164mg,Relieves pain and inflammation,298,23.38,Painkillers,false
GFen,Relieves pain and inflammation,799,72.83,Painkillers,false
IFen,Relieves pain and inflammation,349,61.74,Painkillers,true
ZPam 33mg,Relieves pain and inflammation,517,15.35,Painkillers,true
OCodone,Relieves pain and inflammation,357,63.85,Painkillers,false
DCodone,Relieves pain and inflammation,453,74.13,Painkillers,false
ZCodone 392mg,Relieves pain and inflammation,226,37.3,Painkillers,true
HGesic,Relieves pain and inflammation,772,39.58,Painkillers,false
FFen,Relieves pain and inflammation,394,16.69,Painkillers,true
VPam 251mg,Relieves pain and inflammation,90,64.57,Painkillers,false
CGesic,Relieves pain and inflammation,591,85.28,Painkillers,false
IPam,Relieves pain and inflammation,392,23.58,Painkillers,false
SGesic 445mg,Relieves pain and inflammation,724,23.32,Painkillers,false
FCodone,Relieves pain and inflammation,463,83.59,Painkillers,false
HFen,Relieves pain and inflammation,153,4.85,Painkillers,true
APam 212mg,Relieves pain and inflammation,752,34.81,Painkillers,false
ECodone,Relieves pain and inflammation,165,15.7,Painkillers,false
PPam,Relieves pain and inflammation,756,67.44,Painkillers,true
DCodone 134mg,Relieves pain and inflammation,571,63.77,Painkillers,true
NCodone,Relieves pain and inflammation,119,36.31,Painkillers,false
DGesic,Relieves pain and inflammation,734,11.48,Painkillers,true
PPam 452mg,Relieves pain and inflammation,75,82.89,Painkillers,false
CGesic,Relieves pain and inflammation,510,24.35,Painkillers,false
ICodone,Relieves pain and inflammation,510,8.84,Painkillers,false
CGesic 318mg,Relieves pain and inflammation,127,30.15,Painkillers,false
ZFen,Relieves pain and inflammation,380,31.08,Painkillers,false
FPam,Relieves pain and inflammation,483,35.27,Painkillers,false
SPam 268mg,Relieves pain and inflammation,328,82.75,Painkillers,false
AFen,Relieves pain and inflammation,734,24.08,Painkillers,true
BPam,Relieves pain and inflammation,64,31.42,Painkillers,false
CCodone 184mg,Relieves pain and inflammation,204,48.19,Painkillers,false
ZFen,Relieves pain and inflammation,292,36.78,Painkillers,true
EPam,Relieves pain and inflammation,458,75.09,Painkillers,false
DGesic 308mg,Relieves pain and inflammation,206,56.56,Painkillers,false
AFen,Relieves pain and inflammation,700,18.47,Painkillers,true
NPam,Relieves pain and inflammation,639,64.63,Painkillers,false
APam 376mg,Relieves pain and inflammation,64,21.94,Painkillers,false
MGesic,Relieves pain and inflammation,79,34.73,Painkillers,false
AIron 63mg,Nutritional supplement,673,69.74,Supplements,false
BOmega,Nutritional supplement,604,69.33,Supplements,false
EVitamin,Nutritional supplement,794,73.39,Supplements,false
HCalcium 215mg,Nutritional supplement,654,79.54,Supplements,true
COmega,Nutritional supplement,210,43.11,Supplements,true
MZinc,Nutritional supplement,487,89.54,Supplements,false
NIron 48mg,Nutritional supplement,338,20.49,Supplements,false
EVitamin,Nutritional supplement,448,77.84,Supplements,true
OVitamin,Nutritional supplement,287,26.67,Supplements,true
BMagnesium 442mg,Nutritional supplement,784,12.22,Supplements,true
AZinc,Nutritional supplement,491,72.03,Supplements,false
DCalcium,Nutritional supplement,546,81.32,Supplements,false
IVitamin 343mg,Nutritional supplement,221,40.83,Supplements,false
HOmega,Nutritional supplement,243,9.39,Supplements,true
OZinc,Nutritional supplement,153,66.83,Supplements,false
IIron 160mg,Nutritional supplement,326,58.72,Supplements,true
VVitamin,Nutritional supplement,406,4.19,Supplements,true
EOmega,Nutritional supplement,227,46.07,Supplements,true
TIron 164mg,Nutritional supplement,486,61.56,Supplements,false
MIron,Nutritional supplement,361,66.33,Supplements,false
ZMagnesium,Nutritional supplement,193,42.56,Supplements,false
GIron 110mg,Nutritional supplement,657,15.67,Supplements,false
EVitamin,Nutritional supplement,171,62.0,Supplements,true
SOmega,Nutritional supplement,672,34.94,Supplements,false
GMagnesium 237mg,Nutritional supplement,137,10.97,Supplements,false
VOmega,Nutritional supplement,30,39.61,Supplements,false
EVitamin,Nutritional supplement,62,55.01,Supplements,false
TIron 420mg,Nutritional supplement,395,89.42,Supplements,false
MOmega,Nutritional supplement,714,72.08,Supplements,true
AMagnesium,Nutritional supplement,311,67.62,Supplements,false
PMagnesium 486mg,Nutritional supplement,315,27.6,Supplements,false
OIron,Nutritional supplement,149,82.41,Supplements,false
LMagnesium,Nutritional supplement,150,43.66,Supplements,true
DCalcium 316mg,Nutritional supplement,227,63.66,Supplements,true
SVitamin,Nutritional supplement,526,43.76,Supplements,true
ICalcium,Nutritional supplement,298,43.86,Supplements,false
HZinc 493mg,Nutritional supplement,631,62.61,Supplements,false
ICalcium,Nutritional supplement,720,68.9,Supplements,true
RZinc,Nutritional supplement,611,39.9,Supplements,false
ZIron 14mg,Nutritional supplement,335,70.93,Supplements,false
AZinc,Nutritional supplement,275,75.01,Supplements,true
GVitamin,Nutritional supplement,72,14.08,Supplements,true
RVitamin 413mg,Nutritional supplement,105,85.35,Supplements,false
MZinc,Nutritional supplement,609,16.57,Supplements,true
BVitamin,Nutritional supplement,638,34.63,Supplements,false
NMagnesium 160mg,Nutritional supplement,372,10.23,Supplements,true
NIron,Nutritional supplement,768,78.69,Supplements,false
RIron,Nutritional supplement,76,67.77,Supplements,true
OOmega 357mg,Nutritional supplement,757,48.29,Supplements,false
TVitamin,Nutritional supplement,594,66.21,Supplements,true
ICalcium,Nutritional supplement,658,69.95,Supplements,false
SIron 144mg,Nutritional supplement,784,39.25,Supplements,false
VZinc,Nutritional supplement,523,47.27,Supplements,true
IOmega,Nutritional supplement,278,46.37,Supplements,false
EIron 225mg,Nutritional supplement,272,19.82,Supplements,false
IIron,Nutritional supplement,749,13.43,Supplements,true
MVitamin,Nutritional supplement,786,37.58,Supplements,true
PIron 354mg,Nutritional supplement,156,77.06,Supplements,false
MCalcium,Nutritional supplement,515,32.86,Supplements,false
MOmega,Nutritional supplement,444,24.35,Supplements,false
HIron 314mg,Nutritional supplement,688,18.26,Supplements,false
ACalcium,Nutritional supplement,475,52.38,Supplements,false
TCalcium,Nutritional supplement,557,13.59,Supplements,false
TMagnesium 52mg,Nutritional supplement,37,53.13,Supplements,false
VCalcium,Nutritional supplement,248,45.6,Supplements,true
GMagnesium,Nutritional supplement,157,20.92,Supplements,true
BOmega 267mg,Nutritional supplement,61,17.25,Supplements,false
LVitamin,Nutritional supplement,477,55.15,Supplements,false
GZinc,Nutritional supplement,466,84.9,Supplements,false
ZZinc 44mg,Nutritional supplement,255,25.35,Supplements,false
OCalcium,Nutritional supplement,749,10.19,Supplements,true
TVitamin,Nutritional supplement,625,60.83,Supplements,false
TOmega 263mg,Nutritional supplement,105,63.51,Supplements,true
EMagnesium,Nutritional supplement,76,61.11,Supplements,true
EMagnesium,Nutritional supplement,157,84.11,Supplements,false
BMagnesium 187mg,Nutritional supplement,68,83.27,Supplements,true
MZinc,Nutritional supplement,557,29.59,Supplements,true
BOmega,Nutritional supplement,723,33.47,Supplements,true
SCalcium 234mg,Nutritional supplement,20,52.62,Supplements,false
RCalcium,Nutritional supplement,254,77.2,Supplements,false
TOmega,Nutritional supplement,144,42.74,Supplements,true
GVitamin 78mg,Nutritional supplement,502,67.51,Supplements,true
COmega,Nutritional supplement,114,73.69,Supplements,false
BOmega,Nutritional supplement,479,24.47,Supplements,false
IIron 346mg,Nutritional supplement,382,15.08,Supplements,false
OCalcium,Nutritional supplement,694,56.98,Supplements,false
ZMagnesium,Nutritional supplement,777,43.8,Supplements,true
ZOmega 107mg,Nutritional supplement,555,71.18,Supplements,true
HVitamin,Nutritional supplement,147,75.96,Supplements,false
IMagnesium,Nutritional supplement,562,63.72,Supplements,false
SVitamin 105mg,Nutritional supplement,446,40.11,Supplements,true
ZIron,Nutritional supplement,64,88.99,Supplements,true
TZinc,Nutritional supplement,556,40.31,Supplements,false
BIron 232mg,Nutritional supplement,260,53.59,Supplements,false
VIron,Nutritional supplement,415,55.96,Supplements,false
SMagnesium,Nutritional supplement,74,88.34,Supplements,false
EIron 370mg,Nutritional supplement,786,16.5,Supplements,true
RMagnesium,Nutritional supplement,424,46.26,Supplements,false
DHist 272mg,Treats allergic reactions,241,42.23,Antihistamines,false
ITamine,Treats allergic reactions,513,39.84,Antihistamines,false
CHist,Treats allergic reactions,448,53.95,Antihistamines,false
OHist 30mg,Treats allergic reactions,274,83.48,Antihistamines,false
RHist,Treats allergic reactions,291,39.33,Antihistamines,false
DHist,Treats allergic reactions,176,60.13,Antihistamines,false
PDine 56mg,Treats allergic reactions,267,85.0,Antihistamines,false
TTamine,Treats allergic reactions,64,13.06,Antihistamines,true
MHist,Treats allergic reactions,672,84.5,Antihistamines,false
SHist 11mg,Treats allergic reactions,160,39.72,Antihistamines,false
DHist,Treats allergic reactions,475,84.57,Antihistamines,false
MTamine,Treats allergic reactions,687,17.44,Antihistamines,false
DTamine 24mg,Treats allergic reactions,408,65.39,Antihistamines,false
EDine,Treats allergic reactions,355,9.98,Antihistamines,true
IDine,Treats allergic reactions,28,9.52,Antihistamines,false
BTamine 225mg,Treats allergic reactions,82,11.62,Antihistamines,false
PTamine,Treats allergic reactions,79,75.63,Antihistamines,false
HDine,Treats allergic reactions,80,66.55,Antihistamines,false
ATamine 398mg,Treats allergic reactions,597,29.51,Antihistamines,false
CHist,Treats allergic reactions,287,31.35,Antihistamines,false
ZTamine,Treats allergic reactions,672,67.51,Antihistamines,false
BDine 191mg,Treats allergic reactions,643,63.65,Antihistamines,true
GTamine,Treats allergic reactions,447,11.83,Antihistamines,true
IHist,Treats allergic reactions,544,24.31,Antihistamines,true
BDine 83mg,Treats allergic reactions,288,59.25,Antihistamines,false
EHist,Treats allergic reactions,208,29.96,Antihistamines,true
MHist,Treats allergic reactions,394,60.37,Antihistamines,false
EDine 114mg,Treats allergic reactions,188,57.6,Antihistamines,false
GHist,Treats allergic reactions,208,5.94,Antihistamines,false
MTamine,Treats allergic reactions,604,29.47,Antihistamines,false
HHist 392mg,Treats allergic reactions,777,56.98,Antihistamines,false
MTamine,Treats allergic reactions,549,46.61,Antihistamines,false
PHist,Treats allergic reactions,512,34.53,Antihistamines,true
ATamine 361mg,Treats allergic reactions,463,76.95,Antihistamines,true
ZTamine,Treats allergic reactions,123,10.11,Antihistamines,false
ZHist,Treats allergic reactions,763,86.51,Antihistamines,false
MTamine 327mg,Treats allergic reactions,465,72.26,Antihistamines,false
GHist,Treats allergic reactions,384,5.56,Antihistamines,false
AHist,Treats allergic reactions,448,75.92,Antihistamines,false
THist 460mg,Treats allergic reactions,64,7.83,Antihistamines,true
VTamine,Treats allergic reactions,28,40.59,Antihistamines,true
EDine,Treats allergic reactions,758,82.81,Antihistamines,false
VHist 273mg,Treats allergic reactions,248,20.87,Antihistamines,false
OTamine,Treats allergic reactions,685,72.29,Antihistamines,false
AHist,Treats allergic reactions,213,38.05,Antihistamines,false
SHist 277mg,Treats allergic reactions,596,6.73,Antihistamines,false
CTamine,Treats allergic reactions,556,70.63,Antihistamines,false
BDine,Treats allergic reactions,498,88.17,Antihistamines,false
MDine 453mg,Treats allergic reactions,442,12.99,Antihistamines,false
CDine,Treats allergic reactions,730,30.28,Antihistamines,false
PTamine,Treats allergic reactions,763,34.05,Antihistamines,false
VDine 483mg,Treats allergic reactions,443,56.89,Antihistamines,true
VTamine,Treats allergic reactions,529,29.28,Antihistamines,false
EDine,Treats allergic reactions,91,39.89,Antihistamines,false
FDine 348mg,Treats allergic reactions,113,8.57,Antihistamines,true
VHist,Treats allergic reactions,444,8.37,Antihistamines,true
VHist,Treats allergic reactions,459,80.2,Antihistamines,false
ZTamine 41mg,Treats allergic reactions,452,56.29,Antihistamines,false
ZDine,Treats allergic reactions,326,47.8,Antihistamines,false
NHist,Treats allergic reactions,563,26.08,Antihistamines,true
VDine 150mg,Treats allergic reactions,619,34.14,Antihistamines,false
ATamine,Treats allergic reactions,574,48.55,Antihistamines,true
RTamine,Treats allergic reactions,477,26.38,Antihistamines,false
RHist 255mg,Treats allergic reactions,766,23.55,Antihistamines,false
LHist,Treats allergic reactions,237,5.91,Antihistamines,false
VDine,Treats allergic reactions,420,64.43,Antihistamines,true
MHist 120mg,Treats allergic reactions,79,43.46,Antihistamines,true
HHist,Treats allergic reactions,708,21.28,Antihistamines,false
CTamine,Treats allergic reactions,516,23.97,Antihistamines,true
CDine 44mg,Treats allergic reactions,356,18.48,Antihistamines,false
ODine,Treats allergic reactions,672,4.65,Antihistamines,true
FDine,Treats allergic reactions,396,64.6,Antihistamines,false
CDine 76mg,Treats allergic reactions,632,7.25,Antihistamines,false
FHist,Treats allergic reactions,295,55.3,Antihistamines,false
FHist,Treats allergic reactions,277,6.53,Antihistamines,true
EHist 328mg,Treats allergic reactions,124,65.72,Antihistamines,false
ATamine,Treats allergic reactions,112,61.98,Antihistamines,true
FDine,Treats allergic reactions,289,74.18,Antihistamines,false
TTamine 489mg,Treats allergic reactions,280,4.59,Antihistamines,false
IDine,Treats allergic reactions,708,7.29,Antihistamines,false
NDine,Treats allergic reactions,267,34.96,Antihistamines,false
EHist 198mg,Treats allergic reactions,483,19.14,Antihistamines,false
VTamine,Treats allergic reactions,350,18.64,Antihistamines,false
DTamine,Treats allergic reactions,194,67.48,Antihistamines,true
IDine 123mg,Treats allergic reactions,156,12.67,Antihistamines,false
ITamine,Treats allergic reactions,464,69.51,Antihistamines,false
ODine,Treats allergic reactions,500,78.92,Antihistamines,false
SHist 332mg,Treats allergic reactions,697,11.12,Antihistamines,true
LHist,Treats allergic reactions,620,30.69,Antihistamines,false
MHist,Treats allergic reactions,702,27.53,Antihistamines,false
DHist 291mg,Treats allergic reactions,757,54.7,Antihistamines,false
NDine,Treats allergic reactions,691,67.83,Antihistamines,true
LHist,Treats allergic reactions,152,83.52,Antihistamines,false
RHist 388mg,Treats allergic reactions,267,32.37,Antihistamines,false
EHist,Treats allergic reactions,385,89.39,Antihistamines,true
NTamine,Treats allergic reactions,130,56.51,Antihistamines,false
TDine 466mg,Treats allergic reactions,265,9.05,Antihistamines,false
PTamine,Treats allergic reactions,132,29.3,Antihistamines,false
ZTidine 497mg,Reduces stomach acid,99,70.63,Antacids,false
SRazole,Reduces stomach acid,534,15.91,Antacids,true
STidine,Reduces stomach acid,283,36.49,Antacids,false
FRazole 245mg,Reduces stomach acid,188,58.91,Antacids,false
ATidine,Reduces stomach acid,222,43.43,Antacids,true
BTidine,Reduces stomach acid,680,7.25,Antacids,false
MRazole 78mg,Reduces stomach acid,430,16.96,Antacids,true
HTidine,Reduces stomach acid,241,48.48,Antacids,false
PRazole,Reduces stomach acid,112,53.82,Antacids,true
GAcid 180mg,Reduces stomach acid,537,46.65,Antacids,false
BAcid,Reduces stomach acid,501,62.92,Antacids,false
ORazole,Reduces stomach acid,392,12.69,Antacids,false
PAcid 292mg,Reduces stomach acid,497,7.12,Antacids,false
SAcid,Reduces stomach acid,364,75.71,Antacids,false
HRazole,Reduces stomach acid,759,30.72,Antacids,true
IRazole 470mg,Reduces stomach acid,84,85.89,Antacids,false
MRazole,Reduces stomach acid,550,19.57,Antacids,false
MAcid,Reduces stomach acid,506,79.98,Antacids,false
GAcid 251mg,Reduces stomach acid,344,80.53,Antacids,false
DTidine,Reduces stomach acid,254,84.88,Antacids,false
MAcid,Reduces stomach acid,139,27.84,Antacids,false
FTidine 26mg,Reduces stomach acid,84,56.59,Antacids,true
LRazole,Reduces stomach acid,599,71.35,Antacids,false
MTidine,Reduces stomach acid,204,63.54,Antacids,false
EAcid 93mg,Reduces stomach acid,225,4.12,Antacids,false
RRazole,Reduces stomach acid,239,52.56,Antacids,false
MTidine,Reduces stomach acid,588,25.03,Antacids,false
BAcid 66mg,Reduces stomach acid,456,44.3,Antacids,false
ERazole,Reduces stomach acid,147,22.14,Antacids,false
TRazole,Reduces stomach acid,621,58.76,Antacids,true
ETidine 448mg,Reduces stomach acid,460,16.62,Antacids,false
ITidine,Reduces stomach acid,465,31.02,Antacids,false
FAcid,Reduces stomach acid,333,31.68,Antacids,true
VRazole 313mg,Reduces stomach acid,639,61.04,Antacids,false
ARazole,Reduces stomach acid,513,8.4,Antacids,false
FTidine,Reduces stomach acid,40,15.82,Antacids,false
SRazole 236mg,Reduces stomach acid,674,64.87,Antacids,false
ERazole,Reduces stomach acid,661,33.92,Antacids,false
ZRazole,Reduces stomach acid,511,55.75,Antacids,false
SAcid 475mg,Reduces stomach acid,671,63.86,Antacids,false
RAcid,Reduces stomach acid,76,11.07,Antacids,true
GAcid,Reduces stomach acid,535,20.79,Antacids,true
DTidine 356mg,Reduces stomach acid,260,51.52,Antacids,false
